Activity,Calories_per_kg,Category
"Swimming leisurely, not laps",1.23485344477612,Cardio
Swimming sidestroke,1.64782526567164,Cardio
Swimming synchronized,1.64782526567164,Cardio
"Swimming, treading water, fast, vigorous",2.05944308059702,Cardio
"Swimming, treading water, moderate",0.823235629850746,Cardio
"Water aerobics, water calisthenics",0.823235629850746,Cardio
Water polo,2.05944308059702,Mixed
Water volleyball,0.61742672238806,Mixed
Water jogging,1.64782526567164,Mixed
"Diving, springboard or platform",0.61742672238806,Mixed
"Ice skating, < 9 mph",1.13262599402985,Mixed
"Ice skating, average speed",1.44133935522388,Mixed
"Ice skating, rapidly",1.85295717014925,Mixed
"Speed skating, ice, competitive",3.08916462089552,Mixed
"Cross country snow skiing, slow",1.44133935522388,Cardio
"Cross country skiing, moderate",1.64782526567164,Cardio
"Cross country skiing, vigorous",1.85295717014925,Cardio
"Cross country skiing, racing",2.88267871044776,Cardio
"Cross country skiing, uphill",3.39787798208955,Cardio
"Snow skiing, downhill skiing, light",1.02972154029851,Cardio
"Downhill snow skiing, moderate",1.23485344477612,Cardio
"Downhill snow skiing, racing",1.64782526567164,Cardio
"Sledding, tobagganing, luge",1.44133935522388,Mixed
Snow shoeing,1.64782526567164,Mixed
Snowmobiling,0.721008179104478,Mixed
General housework,0.721008179104478,Mixed
Cleaning gutters,1.02972154029851,Mixed
Painting,0.927494089552239,Mixed
"Sit, playing with animals",0.515199271641791,Mixed
"Walk / run, playing with animals",0.823235629850746,Cardio
Bathing dog,0.721008179104478,Mixed
"Mowing lawn, walk, power mower",1.13262599402985,Mixed
"Mowing lawn, riding mower",0.515199271641791,Mixed
"Walking, snow blower",0.721008179104478,Mixed
"Riding, snow blower",0.61742672238806,Mixed
Shoveling snow by hand,1.23485344477612,Mixed
Raking lawn,0.885519904477612,Mixed
"Gardening, general",0.823235629850746,Mixed
"Bagging grass, leaves",0.823235629850746,Mixed
Watering lawn or garden,0.310067367164179,Mixed
"Weeding, cultivating garden",0.927494089552239,Mixed
"Carpentry, general",0.721008179104478,Mixed
Carrying heavy loads,1.64782526567164,Mixed
Carrying moderate loads upstairs,1.64782526567164,Cardio
General cleaning,0.721008179104478,Mixed
"Cleaning, dusting",0.515199271641791,Mixed
Taking out trash,0.61742672238806,Mixed
"Walking, pushing a wheelchair",0.823235629850746,Strength
"Teach physical education,exercise class",0.823235629850746,Mixed
